logical_table,instance_id,episode_seed,treated_seat,difficulty_scalar,difficulty_tags,deal_rate,below_threshold_accept,worst_off,worst_off_share,dist_to_nbs,dist_to_ks,normalized_gini,normalized_nash_welfare_conditional,max_share,below_threshold_episode,normalized_primary,normalized_nash_welfare,justified_walk,missed_deal,ir_margin_of_no_deal,gini,instance_n_deals,instance_n_ir_deals,instance_feasible_all_ir,instance_ir_margin
all_llm,scorable_negotiation-L0-32200851b2,0,,0.562257,easy;high-conflict,1.0,0.0,0.24242424242424243,0.09136137924130079,0.5514512891620004,0.5514512891620004,0.2184519057774696,0.48259333271595234,0.302320827736667,0.0,0.9254,0.48259333271595234,nan,nan,nan,0.22833333333333333,256,47,True,0.32926829268292684
all_llm,scorable_negotiation-L2-103cef6017,2,,0.638165,medium;small-frontier,1.0,0.0,0.11475409836065574,0.03724628064322082,0.5062048047298621,0.5062048047298621,0.324738451234411,0.464110462236373,0.32457473131949566,0.0,0.9578,0.464110462236373,nan,nan,nan,0.385929648241206,256,15,True,0.2692307692307692
all_llm,scorable_negotiation-L3-d9a0ef3c04,3,,0.7161,hard;no-clear-win-win;pivotal-seat,1.0,0.0,0.651685393258427,0.14009661835748793,0.0,0.0,0.05990338164251207,0.9179258437648328,0.214975845410628,0.0,1.0,0.9179258437648328,nan,nan,nan,0.29333333333333333,256,5,True,0.651685393258427
all_llm,scorable_negotiation-L3-9a1b1c0960,3,,0.689368,hard;pivotal-seat,1.0,0.0,0.15789473684210525,0.04903781856007132,0.531682611776159,0.531682611776159,0.22953661738118233,0.550249714729916,0.3105728508804517,0.0,0.9183,0.550249714729916,nan,nan,nan,0.2318471337579618,256,8,True,0.18421052631578946
all_llm,scorable_negotiation-L3-9a1b1c0960,1,,0.689368,hard;pivotal-seat,1.0,0.0,0.15789473684210525,0.04903781856007132,0.531682611776159,0.531682611776159,0.22953661738118233,0.550249714729916,0.3105728508804517,0.0,0.9183,0.550249714729916,nan,nan,nan,0.2318471337579618,256,8,True,0.18421052631578946
all_llm,scorable_negotiation-L0-34733a57e6,0,,0.561029,easy;large-frontier,1.0,0.0,0.3283582089552239,0.12106621585704819,0.44093905328630767,0.44093905328630767,0.21040716999432124,0.5032176115004844,0.3397838803331949,0.0,0.7853,0.5032176115004844,nan,nan,nan,0.14486486486486486,256,45,True,0.4523809523809524
all_llm,scorable_negotiation-L4-8a29217702,4,,0.68927,hard;high-conflict;no-clear-win-win;small-frontier,1.0,0.0,0.49122807017543857,0.11676396997497913,0.0,0.0,0.1237698081734779,0.8113601931999888,0.23769808173477897,0.0,1.0,0.8113601931999888,nan,nan,nan,0.20210526315789473,256,4,True,0.49122807017543857
all_llm,scorable_negotiation-L1-19dae4b672,0,,0.62258,high-conflict;medium,1.0,0.0,0.1836734693877551,0.06661399479937662,0.26296012136086777,0.26296012136086777,0.22849721663910075,0.4886454343014315,0.338497780980536,0.0,0.9455,0.4886454343014315,nan,nan,nan,0.3076923076923077,256,27,True,0.4387755102040816
all_llm,scorable_negotiation-L0-a483b0d80d,0,,0.546303,easy,1.0,0.0,0.11702127659574468,0.037442559709536506,0.8496454618458733,0.8496454618458733,0.33693765246496854,0.42368425425403855,0.31996369206331193,0.0,0.9987,0.42368425425403855,nan,nan,nan,0.3593220338983051,256,40,True,0.4727272727272727
all_llm,scorable_negotiation-L2-1fc37540c8,1,,0.676476,high-conflict;large-frontier;medium;no-clear-win-win,1.0,0.0,0.05,0.016616852244746256,0.5043263731254787,0.5043263731254787,0.3442553389187431,0.39862525191187015,0.3323370448949251,0.0,0.8891,0.39862525191187015,nan,nan,nan,0.45208333333333334,256,17,True,0.3103448275862069
all_llm,scorable_negotiation-L1-19dae4b672,1,,0.62258,high-conflict;medium,1.0,0.0,0.14516129032258066,0.04732032496779846,0.5728688967940591,0.5728688967940591,0.2423250657795763,0.5190553291636535,0.3259844608892783,0.0,0.9605,0.5190553291636535,nan,nan,nan,0.26542056074766357,256,27,True,0.4387755102040816
all_llm,scorable_negotiation-L0-611ee402f7,1,,0.55854,easy,1.0,0.0,0.35185185185185186,0.1053021339871845,0.0,0.5426072941604801,0.19081032020372948,0.6246360293738825,0.29927974922673495,0.0,1.0,0.6246360293738825,nan,nan,nan,0.26887417218543047,256,43,True,0.417910447761194
