logical_table,instance_id,episode_seed,bank_position,seat_index,difficulty_tags,deal_rate,normalized_primary,worst_off,max_share,seat_z,seat_z_uncond,seat_share,seat_advantage,seat_capture_z,coplayer_z,coplayer_z_uncond,z_parties
one_rational,scorable_negotiation-L3-9a673abad3,3,18,4,hard;high-conflict;pivotal-seat,1.0,1.0,0.08620689655172414,0.2831391836560347,0.765625,0.765625,0.2167784374867574,0.07407327586250001,0.17687234207202507,0.6915517241375,0.6915517241375,0.68;1;1;0.08620689655;0.765625
one_rational,scorable_negotiation-L3-9a1b1c0960,0,23,3,hard;pivotal-seat,1.0,1.0,0.18421052631578946,0.3022639200489496,1.0,1.0,0.3022639200512306,0.42290823212499995,1.0891997630187924,0.577091767875,0.577091767875,0.5087719298;0.1842105263;0.6153846154;1;1
one_rational,scorable_negotiation-L4-8a29217702,4,4,2,hard;high-conflict;no-clear-win-win;small-frontier,1.0,1.0,0.49122807017543857,0.23769808173477897,0.7157894737,0.7157894737,0.17014178482280515,-0.15701754385,-0.6073766876368837,0.87280701755,0.87280701755,1;1;0.7157894737;0.4912280702;1
one_rational,scorable_negotiation-L2-df1e479b72,0,2,2,medium;small-frontier,1.0,0.9634,0.23275862068965517,0.29994791774215385,1.0,1.0,0.29994791774843976,0.416521968625,1.1008664287156575,0.583478031375,0.583478031375,0.4489795918;0.652173913;1;1;0.2327586207
one_rational,scorable_negotiation-L1-282034699c,2,16,0,easy;large-frontier,1.0,0.9791,0.26666666666666666,0.28108555211705477,0.9074074074,0.9074074074,0.255059112104829,0.244850329775,0.6131659339567465,0.662557077625,0.662557077625,0.9074074074;1;0.2666666667;0.3835616438;1
one_rational,scorable_negotiation-L1-19dae4b672,1,11,3,high-conflict;medium,1.0,0.7184,0.14444444444444443,0.42831118688518616,0.5757575758,0.5757575758,0.2466034106518495,0.13600920335,0.3428657319425631,0.43974837245,0.43974837245,0.4693877551;1;0.1444444444;0.5757575758;0.1451612903
one_rational,scorable_negotiation-L3-46e1252af7,1,8,0,hard;pivotal-seat,1.0,1.0,0.21621621621621623,0.27205882352941174,1.0,1.0,0.2720588235276114,0.331081081075,0.794466933018119,0.668918918925,0.668918918925,1;1;0.2162162162;0.4594594595;1
one_rational,scorable_negotiation-L1-996daa4124,2,21,0,easy;large-frontier,1.0,0.9109,0.21428571428571427,0.31625485408173143,1.0,1.0,0.31625485408384063,0.45949829932499997,1.367640136691822,0.540501700675,0.540501700675,1;0.4693877551;0.2142857143;0.77;0.7083333333
one_rational,scorable_negotiation-L4-712ba36a4f,0,9,4,hard;no-clear-win-win;pivotal-seat,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L0-65113008ad,4,0,3,medium,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L0-34733a57e6,2,20,4,easy;large-frontier,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,
one_rational,scorable_negotiation-L0-a483b0d80d,3,15,1,easy,1.0,0.9649,0.4727272727272727,0.2538432025241852,0.4727272727,0.4727272727,0.15737521943922989,-0.16004660975,-1.1734699339572197,0.63277388245,0.63277388245,0.5531914894;0.4727272727;0.7625;0.6931818182;0.5222222222
