experiment-name,condition,focal_seat,instance_id,seed,episode_id,deal,focal_normalized_surplus,opponent_normalized_surplus,normalized_welfare,syntax_errors,economic_errors,turns,episode_json,transcript_md,transcript_html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-5646c8be3d,1,scorable_negotiation-moves_chat-e1e6a5d1f2,1,1.0,0.218718,1.2187,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-e1e6a5d1f2.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e1e6a5d1f2.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-e1e6a5d1f2.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-5646c8be3d,1,scorable_negotiation-moves_chat-065ac5c875,1,1.0,0.218718,1.2187,0,0,8,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-065ac5c875.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-065ac5c875.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-065ac5c875.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-8b01faa970,0,scorable_negotiation-moves_chat-bea312344d,1,0.093117,1.0,1.0931,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-bea312344d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-bea312344d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-bea312344d.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-8b01faa970,0,scorable_negotiation-moves_chat-864fa0e5c7,1,0.093117,1.0,1.0931,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-864fa0e5c7.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-864fa0e5c7.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-864fa0e5c7.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-8b01faa970,1,scorable_negotiation-moves_chat-d138a345cb,1,0.093117,1.0,1.0931,0,0,2,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-d138a345cb.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-d138a345cb.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-d138a345cb.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-8b01faa970,1,scorable_negotiation-moves_chat-04216c6818,1,0.093117,1.0,1.0931,0,0,6,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-04216c6818.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-04216c6818.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-04216c6818.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-90316f9784,0,scorable_negotiation-moves_chat-980772b988,1,1.0,0.045045,1.045,0,0,2,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-980772b988.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-980772b988.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-980772b988.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-90316f9784,0,scorable_negotiation-moves_chat-52f9fedc5b,0,0.0,0.0,0.0,0,0,14,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-52f9fedc5b.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-52f9fedc5b.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-52f9fedc5b.html
advocate_v2_uncapped_baseline,raw_llm,0,scorable_negotiation-L0-90316f9784,1,scorable_negotiation-moves_chat-2aaee4f90d,1,1.0,0.045045,1.045,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/episodes/scorable_negotiation/base/moves_chat/Qwen3-8B/L0/scorable_negotiation-moves_chat-2aaee4f90d.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-2aaee4f90d.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_baseline/transcripts/scorable_negotiation-moves_chat-2aaee4f90d.html
advocate_v2_uncapped_baseline,planner_guided,0,scorable_negotiation-L0-90316f9784,1,scorable_negotiation-moves_chat-7bdcb4c74b,1,1.0,0.045045,1.045,0,0,4,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/episodes/scorable_negotiation/base/moves_chat/advocate_mixed/L0/scorable_negotiation-moves_chat-7bdcb4c74b.json,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-7bdcb4c74b.md,/nlp/scr/siddharth/ii_mats/rational_agents/advocate_v2_uncapped_seat0/transcripts/scorable_negotiation-moves_chat-7bdcb4c74b.html
